customer_id,first_name,last_name,date_of_birth,gender,city,state,employment_type,monthly_income,customer_since
C000036,Adya,Tella,1972-11-13,M,Delhi,Delhi,SELF_EMPLOYED,20850,2023-01-11
C000037,Hitesh,Misra,2004-03-11,M,Bengaluru,Karnataka,BUSINESS_OWNER,47894,2023-01-11
C000038,Rushil,Dua,1986-02-26,M,Bengaluru,Karnataka,SALARIED,118019,2025-03-13
C000039,Neel,Zacharia,1996-10-20,M,Nashik,Maharashtra,BUSINESS_OWNER,104975,2026-07-10
C000040,Aadi,Naik,1993-12-17,M,Jaipur,Rajasthan,SALARIED,115153,2018-11-16
C000041,Isaac,Patil,1981-08-21,M,Bengaluru,Karnataka,SALARIED,83143,2020-09-29
C000042,Dalbir,Khosla,1999-04-27,M,Chennai,Tamil Nadu,SALARIED,211865,2019-05-19
C000043,Frederick,Sunder,1965-06-03,M,Jaipur,Rajasthan,BUSINESS_OWNER,220758,2025-03-07
C000044,Jeremiah,Dave,2005-08-10,M,Nashik,Maharashtra,BUSINESS_OWNER,144592,2022-10-02
C000045,Noah,Lanka,1996-08-14,M,Kolkata,West Bengal,SELF_EMPLOYED,158326,2026-02-17
C000046,Pallavi,Kakar,1997-05-30,F,Chennai,Tamil Nadu,SALARIED,161373,2025-02-18
C000047,Sai,Muni,1987-11-12,F,Ahmedabad,Gujarat,SELF_EMPLOYED,196078,2024-06-03
C000048,Kashvi,Sarma,1995-12-07,F,Hyderabad,Telangana,BUSINESS_OWNER,138354,2022-07-20
C000049,Jai,Kota,1976-01-01,M,Pune,Maharashtra,SALARIED,36784,2019-04-03
C000050,Hamsini,Bail,2000-09-29,M,Hyderabad,Telangana,BUSINESS_OWNER,165207,2023-06-03
C000051,Victor,Kannan,1961-03-14,M,Ahmedabad,Gujarat,SALARIED,38610,2019-04-25
C000052,Daniel,Karnik,1965-04-19,M,Mumbai,Maharashtra,SALARIED,28234,2026-05-31
C000053,Azad,Narayanan,1965-07-14,M,Hyderabad,Telangana,BUSINESS_OWNER,82391,2023-01-31
C000054,Wazir,Mallick,1993-09-29,F,Bengaluru,Karnataka,SALARIED,161356,2020-07-13
C000055,Kevin,Solanki,1977-03-31,F,Nashik,Maharashtra,SALARIED,225683,2025-05-20
C000056,Urvashi,Ray,1973-09-01,F,Jaipur,Rajasthan,SALARIED,44726,2019-07-07
C000057,Gunbir,Sankar,1984-10-27,F,Pune,Maharashtra,SELF_EMPLOYED,131038,2022-04-25
C000058,Nirja,Sibal,1964-05-25,F,Delhi,Delhi,BUSINESS_OWNER,34200,2024-06-09
C000059,Guneet,Bhat,1988-02-10,M,Pune,Maharashtra,SELF_EMPLOYED,210896,2024-11-26
C000060,Harinakshi,Chopra,1977-08-19,M,Hyderabad,Telangana,SALARIED,70224,2020-05-04
C000061,Ranveer,Yadav,1991-03-29,F,Ahmedabad,Gujarat,SALARIED,130593,2019-11-26
C000062,Pahal,Goswami,1979-09-01,F,Nashik,Maharashtra,SELF_EMPLOYED,85485,2022-08-24
C000063,Zaid,Borra,1990-11-13,F,Pune,Maharashtra,BUSINESS_OWNER,45666,2025-08-01
C000064,Guneet,Bedi,2005-02-02,M,Mumbai,Maharashtra,SALARIED,217542,2023-04-23
C000065,Alexander,Chander,1976-10-18,M,Ahmedabad,Gujarat,SELF_EMPLOYED,147307,2020-02-15
C000066,Niharika,Sunder,1993-06-20,M,Jaipur,Rajasthan,SELF_EMPLOYED,35370,2020-07-12
C000067,Nandini,Bhargava,1971-12-01,F,Nashik,Maharashtra,SALARIED,122346,2021-12-07
C000068,Aarnav,Ramakrishnan,1978-10-04,F,Bengaluru,Karnataka,SELF_EMPLOYED,130888,2026-08-04
C000069,Suhani,Mangal,1989-06-30,F,Kolkata,West Bengal,SALARIED,69780,2024-08-20
C000070,Vidhi,Dubey,1973-08-19,M,Bengaluru,Karnataka,SALARIED,171828,2021-03-26
C000071,Teerth,Bhardwaj,2000-02-15,M,Kolkata,West Bengal,BUSINESS_OWNER,102209,2024-12-19
C000072,Darsh,Murthy,1964-08-07,M,Mumbai,Maharashtra,BUSINESS_OWNER,144987,2019-02-19
C000073,Vansha,Thakkar,1996-11-08,M,Kolkata,West Bengal,SALARIED,153124,2020-01-19
C000074,Dakshesh,Trivedi,1966-03-01,M,Pune,Maharashtra,SALARIED,175984,2025-12-14
C000075,Quincy,Biswas,2001-03-15,M,Pune,Maharashtra,SELF_EMPLOYED,51427,2019-04-16
C000076,Wahab,Raval,1968-11-13,M,Chennai,Tamil Nadu,BUSINESS_OWNER,175849,2026-04-14
C000077,Yatin,Baral,2002-11-10,M,Mumbai,Maharashtra,SELF_EMPLOYED,192326,2019-05-29
C000078,Oni,Virk,1982-03-29,F,Chennai,Tamil Nadu,SELF_EMPLOYED,73545,2020-12-05
C000079,Samarth,Murthy,1976-12-14,M,Hyderabad,Telangana,SELF_EMPLOYED,123752,2020-12-20
C000080,Meghana,Deep,2004-08-21,F,Nashik,Maharashtra,SELF_EMPLOYED,102883,2021-04-06
C000081,Tanvi,Mutti,1965-08-25,M,Pune,Maharashtra,SELF_EMPLOYED,182833,2018-10-15
C000082,Tara,Chaudhry,1965-09-11,M,Chennai,Tamil Nadu,SALARIED,160937,2023-04-14
C000083,Tanay,Toor,1978-10-04,F,Ahmedabad,Gujarat,SALARIED,111490,2019-11-02
C000084,Ikshita,Biswas,1977-05-02,M,Pune,Maharashtra,SELF_EMPLOYED,94707,2021-11-08
C000085,Bhavani,Dugar,1990-07-13,F,Nashik,Maharashtra,BUSINESS_OWNER,204428,2025-10-20
C000086,Chasmum,Wadhwa,1961-03-30,M,Bengaluru,Karnataka,BUSINESS_OWNER,234198,2024-05-22
C000087,Chandani,Chawla,1969-11-06,F,Kolkata,West Bengal,BUSINESS_OWNER,47154,2020-12-16
C000088,Jack,Chhabra,1998-05-11,F,Nashik,Maharashtra,SALARIED,48058,2020-01-12
C000089,Anita,Manda,2001-11-14,M,Kolkata,West Bengal,SELF_EMPLOYED,93860,2020-07-02
C000090,Hemal,Jani,2003-11-15,M,Chennai,Tamil Nadu,BUSINESS_OWNER,109884,2025-12-18
C000091,Aishani,Tiwari,1993-12-15,F,Ahmedabad,Gujarat,BUSINESS_OWNER,148065,2020-11-05
C000092,Charan,Chanda,2003-11-16,M,Bengaluru,Karnataka,SALARIED,186273,2022-04-25
C000093,Aradhana,Basu,1960-12-14,F,Delhi,Delhi,SALARIED,20929,2021-07-19
C000094,Kalpit,Lala,1971-09-16,M,Hyderabad,Telangana,BUSINESS_OWNER,88670,2025-01-05
C000095,Riya,Sane,1998-11-18,F,Nashik,Maharashtra,BUSINESS_OWNER,204986,2018-10-17
C000096,Isaac,Borra,1970-11-08,M,Delhi,Delhi,SALARIED,39724,2023-05-09
C000097,Balendra,Pingle,2000-05-08,M,Nashik,Maharashtra,SELF_EMPLOYED,172701,2023-05-30
C000098,Manbir,Sani,1969-05-20,M,Kolkata,West Bengal,SELF_EMPLOYED,53409,2019-01-24
C000099,Darika,Patla,1963-06-05,F,Mumbai,Maharashtra,SELF_EMPLOYED,228698,2026-05-10
C000100,Ishita,Kade,1977-09-10,F,Mumbai,Maharashtra,SALARIED,198799,2024-05-20
C000101,Harshil,Pandya,1998-10-23,M,Ahmedabad,Gujarat,SELF_EMPLOYED,224502,2026-03-25
C000102,Niharika,Dubey,1976-10-27,F,Kolkata,West Bengal,BUSINESS_OWNER,216471,2026-01-24
C000103,Nicholas,Goel,1988-10-07,M,Nashik,Maharashtra,SALARIED,229685,2018-12-03
C000104,Praneel,Natarajan,1988-09-23,F,Nashik,Maharashtra,SALARIED,67018,2025-07-14
C000105,Yuvraj,Loke,1971-07-18,F,Hyderabad,Telangana,BUSINESS_OWNER,246509,2025-05-29
C000106,Hritik,Raja,1963-05-07,F,Ahmedabad,Gujarat,SALARIED,226405,2026-01-05
C000107,Upma,Kapadia,1974-04-17,F,Pune,Maharashtra,SALARIED,245075,2025-08-28
C000108,Triveni,Palla,1981-06-24,M,Jaipur,Rajasthan,SALARIED,234063,2025-09-09
C000109,Vedant,Kapoor,1962-04-28,F,Jaipur,Rajasthan,SELF_EMPLOYED,235098,2024-04-28
C000110,Reyansh,Rastogi,1983-01-18,M,Ahmedabad,Gujarat,SALARIED,193023,2021-01-29
C000111,Ekaraj,Mallick,1984-08-09,F,Ahmedabad,Gujarat,SELF_EMPLOYED,93034,2024-03-02
C000112,Yashodhara,Ratta,1997-03-14,F,Pune,Maharashtra,SELF_EMPLOYED,188160,2021-07-11
C000113,Ayaan,D’Alia,1978-06-27,F,Kolkata,West Bengal,BUSINESS_OWNER,241160,2020-03-24
C000114,Alka,Barad,1968-02-02,F,Kolkata,West Bengal,SALARIED,50236,2023-10-14
C000115,Radha,Pai,1982-01-21,M,Bengaluru,Karnataka,BUSINESS_OWNER,89590,2022-06-03
C000116,Yasti,D’Alia,1986-12-04,M,Mumbai,Maharashtra,BUSINESS_OWNER,133918,2026-05-12
C000117,Ranveer,Kumar,1963-09-25,F,Hyderabad,Telangana,SELF_EMPLOYED,178914,2024-09-27
C000118,Rajata,Agarwal,1996-02-03,M,Kolkata,West Bengal,SELF_EMPLOYED,171149,2026-08-01
C000119,Ronith,Patla,1990-01-22,F,Ahmedabad,Gujarat,SALARIED,205803,2019-04-22
C000120,Ganga,Murthy,1969-03-11,M,Delhi,Delhi,BUSINESS_OWNER,231421,2024-10-31
C000121,Charita,Tripathi,1981-10-04,M,Kolkata,West Bengal,SELF_EMPLOYED,133062,2024-05-19
C000122,Nilima,Narain,1988-02-04,F,Pune,Maharashtra,BUSINESS_OWNER,102291,2024-08-22
C000123,Chakrika,Datta,1973-10-07,F,Pune,Maharashtra,BUSINESS_OWNER,101077,2022-04-15
C000124,Ladli,Ghosh,2002-08-06,F,Delhi,Delhi,SELF_EMPLOYED,202769,2023-07-21
C000125,Charvi,Ravi,1997-12-31,M,Bengaluru,Karnataka,SALARIED,130217,2025-10-20
C000126,Aadi,Modi,1980-03-27,M,Delhi,Delhi,BUSINESS_OWNER,169187,2020-07-01
C000127,Qushi,Nagy,1992-05-09,F,Bengaluru,Karnataka,BUSINESS_OWNER,238556,2022-06-20
C000128,Riya,Kala,1995-07-01,F,Mumbai,Maharashtra,SELF_EMPLOYED,75098,2022-09-26
C000129,Omkaar,Chad,1980-01-09,F,Delhi,Delhi,SELF_EMPLOYED,135811,2023-02-04
C000130,Gautami,Chander,1976-09-10,M,Jaipur,Rajasthan,BUSINESS_OWNER,144042,2024-06-07
C000131,Dayita,Kar,1974-04-06,M,Nashik,Maharashtra,SELF_EMPLOYED,155122,2019-12-18
C000132,Aryan,Batra,1977-05-16,F,Chennai,Tamil Nadu,SALARIED,234544,2022-10-02
C000133,Elijah,Shah,1988-11-29,F,Ahmedabad,Gujarat,SALARIED,231435,2026-04-01
C000134,Robert,Rajagopalan,1994-05-09,M,Ahmedabad,Gujarat,SALARIED,32114,2022-02-09
C000135,Yagnesh,Divan,2005-05-10,F,Ahmedabad,Gujarat,BUSINESS_OWNER,242753,2024-07-23
C000136,Abdul,Chhabra,1989-08-23,F,Pune,Maharashtra,SELF_EMPLOYED,185089,2020-07-27
C000137,Patrick,Vasa,1992-04-28,M,Chennai,Tamil Nadu,BUSINESS_OWNER,202545,2019-02-20
C000138,Zaid,Dara,1991-10-10,F,Delhi,Delhi,SELF_EMPLOYED,83959,2019-11-05
C000139,Ucchal,Wali,1998-09-30,M,Nashik,Maharashtra,SALARIED,224058,2023-10-11
C000140,Edhitha,Savant,2002-05-27,M,Delhi,Delhi,SALARIED,230792,2025-08-23
C000141,Yamini,Sandhu,1997-12-29,F,Kolkata,West Bengal,SALARIED,166120,2022-07-03
C000142,Nathan,Soman,1991-05-04,M,Ahmedabad,Gujarat,SELF_EMPLOYED,54954,2020-11-30
C000143,Yug,Malhotra,1996-03-08,F,Jaipur,Rajasthan,SELF_EMPLOYED,180603,2022-10-31
C000144,William,Maharaj,1990-08-24,F,Kolkata,West Bengal,BUSINESS_OWNER,136893,2019-05-15
C000145,Bhavika,Keer,1979-03-15,F,Nashik,Maharashtra,SELF_EMPLOYED,87945,2021-07-26
C000146,Ekaja,Zachariah,1966-03-12,F,Ahmedabad,Gujarat,BUSINESS_OWNER,147034,2019-11-20
C000147,Matthew,Kashyap,1986-10-11,F,Ahmedabad,Gujarat,SELF_EMPLOYED,40311,2024-08-12
C000148,Michael,Kala,1965-01-30,M,Bengaluru,Karnataka,SELF_EMPLOYED,108040,2022-03-28
C000149,Nikita,Narayanan,1997-08-20,M,Hyderabad,Telangana,SALARIED,59539,2022-09-03
C000150,Ojasvi,Bhatia,1974-10-14,F,Ahmedabad,Gujarat,BUSINESS_OWNER,60056,2025-10-17
C000151,Osha,Ramachandran,2000-06-16,M,Ahmedabad,Gujarat,SELF_EMPLOYED,126849,2024-08-16
C000152,Anmol,Rai,1993-03-03,F,Hyderabad,Telangana,SELF_EMPLOYED,36322,2018-10-05
C000153,Indira,Misra,1987-04-02,F,Ahmedabad,Gujarat,SELF_EMPLOYED,221797,2025-12-20
C000154,Oni,Yohannan,1997-11-16,M,Chennai,Tamil Nadu,BUSINESS_OWNER,119714,2025-07-07
C000155,Thomas,Sura,1975-08-23,M,Jaipur,Rajasthan,SELF_EMPLOYED,98279,2021-01-11
C000156,Rajata,Sunder,1962-09-08,F,Delhi,Delhi,BUSINESS_OWNER,215956,2022-01-07
C000157,Gayathri,Ravel,1971-12-11,M,Kolkata,West Bengal,SELF_EMPLOYED,77520,2025-11-10
C000158,Unni,Datta,2003-01-21,F,Bengaluru,Karnataka,SELF_EMPLOYED,27608,2023-04-03
C000159,Avi,Ramesh,2000-12-27,F,Delhi,Delhi,BUSINESS_OWNER,198032,2023-07-06
C000160,Avi,Chacko,2004-06-13,M,Delhi,Delhi,SELF_EMPLOYED,53456,2022-05-10
C000161,Krishna,Shenoy,1973-01-28,M,Chennai,Tamil Nadu,SELF_EMPLOYED,175161,2019-02-20
C000162,Abha,Raghavan,1982-12-27,M,Chennai,Tamil Nadu,SALARIED,188492,2020-07-05
C000163,Suhani,Narain,1983-09-05,M,Delhi,Delhi,SELF_EMPLOYED,67639,2025-03-09
C000164,Ladli,Mall,1989-05-26,F,Mumbai,Maharashtra,SELF_EMPLOYED,105813,2020-11-08
C000165,Finn,Singhal,1962-01-11,F,Ahmedabad,Gujarat,SELF_EMPLOYED,108473,2025-01-30
C000166,Charles,Palla,1975-12-21,F,Delhi,Delhi,SELF_EMPLOYED,86131,2024-03-28
C000167,Ekapad,Baria,1962-10-28,F,Pune,Maharashtra,SALARIED,216352,2020-10-24
C000168,Ryan,Bahri,2002-12-29,M,Kolkata,West Bengal,SELF_EMPLOYED,78778,2020-01-03
C000169,William,Date,1992-12-08,M,Pune,Maharashtra,SALARIED,84823,2024-05-27
C000170,Ishwar,Kamdar,1992-05-10,M,Ahmedabad,Gujarat,BUSINESS_OWNER,59946,2024-08-29
C000171,Aahana,Pillay,1972-02-17,M,Ahmedabad,Gujarat,SELF_EMPLOYED,195494,2023-11-12
C000172,Ishwar,Gade,1981-11-16,M,Pune,Maharashtra,SELF_EMPLOYED,203360,2019-08-18
C000173,Atharv,Muni,1999-11-23,F,Bengaluru,Karnataka,SALARIED,178831,2024-06-21
C000174,Keya,Ranganathan,1974-03-17,M,Chennai,Tamil Nadu,SALARIED,101536,2019-05-11
C000175,Xavier,Chaudry,1981-03-26,M,Pune,Maharashtra,SELF_EMPLOYED,170941,2025-12-10
C000176,Jai,Barman,1984-05-03,F,Delhi,Delhi,BUSINESS_OWNER,71990,2023-03-30
C000177,Priya,Prabhakar,1965-05-27,M,Pune,Maharashtra,SALARIED,202764,2023-01-05
C000178,Harita,Arora,1989-04-18,M,Bengaluru,Karnataka,BUSINESS_OWNER,225163,2025-09-14
C000179,Vrishti,Cherian,1990-03-19,F,Mumbai,Maharashtra,BUSINESS_OWNER,132296,2021-10-16
C000180,Tripti,Dua,1990-05-07,M,Hyderabad,Telangana,BUSINESS_OWNER,189749,2020-03-17
C000181,Anamika,Yohannan,1993-08-12,M,Hyderabad,Telangana,SELF_EMPLOYED,235569,2022-08-31
C000182,Rajata,Loyal,1982-08-23,M,Jaipur,Rajasthan,SELF_EMPLOYED,114945,2025-12-15
C000183,Yatan,Chadha,1979-09-10,M,Jaipur,Rajasthan,SELF_EMPLOYED,66173,2026-03-18
C000184,Shravya,Kohli,1992-05-02,F,Kolkata,West Bengal,BUSINESS_OWNER,231864,2023-07-23
C000185,Ladli,Nayar,1962-08-31,F,Kolkata,West Bengal,SELF_EMPLOYED,134183,2022-11-30
C000186,Ekta,Gopal,1993-11-21,F,Chennai,Tamil Nadu,SELF_EMPLOYED,243271,2020-07-07
C000187,Isha,Kuruvilla,1983-11-15,M,Ahmedabad,Gujarat,SELF_EMPLOYED,138175,2021-02-01
C000188,Anya,Anne,1995-11-13,F,Ahmedabad,Gujarat,BUSINESS_OWNER,179994,2020-05-02
C000189,Frederick,Khurana,1988-05-14,F,Delhi,Delhi,SALARIED,149579,2022-11-12
C000190,Wridesh,Soni,2004-08-31,M,Hyderabad,Telangana,SELF_EMPLOYED,75605,2024-10-06
C000191,Vritti,Sem,1961-11-19,F,Hyderabad,Telangana,SELF_EMPLOYED,93310,2019-07-03
C000192,Chaitaly,Kant,1988-03-25,F,Chennai,Tamil Nadu,BUSINESS_OWNER,22661,2024-08-05
C000193,Yagnesh,Mohan,2000-04-14,M,Kolkata,West Bengal,SALARIED,83270,2021-11-06
C000194,Urvashi,Wali,1984-02-08,F,Delhi,Delhi,BUSINESS_OWNER,218748,2022-04-30
C000195,Ganga,Pandey,1991-08-03,F,Ahmedabad,Gujarat,BUSINESS_OWNER,206605,2021-01-05
C000196,Damini,Krishnamurthy,1976-05-26,F,Jaipur,Rajasthan,SALARIED,44393,2019-09-26
C000197,Reyansh,Mutti,1968-11-05,M,Bengaluru,Karnataka,SELF_EMPLOYED,201347,2025-01-11
C000198,Qasim,Handa,1975-06-09,F,Ahmedabad,Gujarat,BUSINESS_OWNER,172451,2024-12-28
C000199,Veda,Malhotra,2000-10-31,F,Hyderabad,Telangana,BUSINESS_OWNER,159177,2025-03-05
C000200,Barkha,Chaudhry,1973-12-02,F,Hyderabad,Telangana,BUSINESS_OWNER,164281,2021-03-25
C000201,Utkarsh,Patel,1972-12-03,F,Hyderabad,Telangana,BUSINESS_OWNER,138946,2021-04-13
C000202,Akshay,Walla,1969-04-29,F,Bengaluru,Karnataka,SELF_EMPLOYED,80434,2021-01-16
C000203,Chakradev,Bhagat,1998-05-14,M,Pune,Maharashtra,SELF_EMPLOYED,51340,2021-03-12
C000204,Jonathan,Swaminathan,1967-09-10,M,Kolkata,West Bengal,SALARIED,76723,2026-02-18
C000205,Advik,Mane,1992-08-26,F,Jaipur,Rajasthan,BUSINESS_OWNER,174556,2022-10-13
C000206,Ridhi,Oak,1973-04-04,F,Kolkata,West Bengal,SALARIED,238268,2019-02-23
C000207,Zayyan,Sridhar,1968-06-22,F,Ahmedabad,Gujarat,SALARIED,114602,2025-09-14
C000208,Dhruv,Rattan,1994-03-05,F,Nashik,Maharashtra,SALARIED,205602,2019-05-05
C000209,Chatresh,Doshi,1970-11-12,M,Kolkata,West Bengal,SELF_EMPLOYED,31931,2025-08-11
C000210,Daksha,Chada,1977-08-07,F,Mumbai,Maharashtra,BUSINESS_OWNER,53103,2019-09-20
C000211,Omaja,Kara,1996-04-09,M,Jaipur,Rajasthan,SALARIED,170487,2021-12-11
C000212,Shravya,Savant,1980-12-11,F,Bengaluru,Karnataka,SELF_EMPLOYED,135466,2026-01-10
C000213,Pushti,Mody,1999-05-29,M,Hyderabad,Telangana,SALARIED,86185,2023-12-29
C000214,Darpan,Chaudhary,1974-11-07,M,Jaipur,Rajasthan,SALARIED,125043,2024-01-12
C000215,Siddharth,Lalla,2005-08-27,M,Jaipur,Rajasthan,BUSINESS_OWNER,185005,2019-05-27
C000216,Naksh,Khatri,1972-07-16,M,Mumbai,Maharashtra,SALARIED,232636,2023-05-28
C000217,Falan,Dugar,1960-11-22,F,Chennai,Tamil Nadu,SALARIED,85061,2022-03-09
C000218,Shravya,Singhal,1980-07-13,F,Pune,Maharashtra,BUSINESS_OWNER,176271,2018-12-27
C000219,Vincent,Mani,1979-12-14,M,Chennai,Tamil Nadu,BUSINESS_OWNER,119713,2024-09-09
C000220,Sudiksha,Bobal,1976-08-05,F,Jaipur,Rajasthan,SELF_EMPLOYED,245487,2026-07-27
C000221,Aishani,Hora,1989-08-22,F,Chennai,Tamil Nadu,SELF_EMPLOYED,169062,2019-09-08
C000222,Umang,Dixit,1978-10-15,M,Chennai,Tamil Nadu,BUSINESS_OWNER,214009,2025-09-28
C000223,Lucky,Bora,1964-10-08,M,Pune,Maharashtra,BUSINESS_OWNER,75318,2020-02-14
C000224,Damyanti,Mani,1990-08-06,M,Bengaluru,Karnataka,SALARIED,82879,2019-10-08
C000225,Upadhriti,Modi,1988-02-07,M,Nashik,Maharashtra,SALARIED,20701,2021-01-09
C000226,Xiti,Zacharia,1994-04-25,F,Delhi,Delhi,BUSINESS_OWNER,175664,2022-06-08
C000227,Faris,Baral,1990-02-10,F,Jaipur,Rajasthan,SALARIED,80680,2024-12-16
C000228,Ekantika,Krishna,1962-06-21,F,Bengaluru,Karnataka,BUSINESS_OWNER,245340,2019-06-27
C000229,Veer,Bail,1979-01-19,M,Jaipur,Rajasthan,BUSINESS_OWNER,81190,2023-08-12
C000230,Banjeet,Gill,1992-09-23,M,Bengaluru,Karnataka,SELF_EMPLOYED,50087,2023-02-15
C000231,Riya,Mall,1973-01-22,M,Kolkata,West Bengal,BUSINESS_OWNER,59056,2023-09-09
C000232,Rajata,Swamy,1966-12-02,M,Bengaluru,Karnataka,SALARIED,35633,2022-09-16
C000233,Ijaya,Rege,1983-05-24,F,Nashik,Maharashtra,BUSINESS_OWNER,216334,2021-06-10
C000234,Henry,Dyal,1983-02-26,F,Chennai,Tamil Nadu,SELF_EMPLOYED,52598,2022-03-18
C000235,Warhi,Mani,1987-12-18,F,Jaipur,Rajasthan,BUSINESS_OWNER,125515,2025-08-18
C000236,Balhaar,Sha,1966-09-14,F,Bengaluru,Karnataka,SELF_EMPLOYED,41087,2021-05-21
C000237,Zayyan,Naik,1968-08-07,M,Chennai,Tamil Nadu,SELF_EMPLOYED,212553,2025-04-13
C000238,Netra,Varkey,1960-10-15,F,Hyderabad,Telangana,SALARIED,43940,2024-04-21
C000239,Turvi,Sachdev,1964-05-26,M,Ahmedabad,Gujarat,BUSINESS_OWNER,235330,2020-04-21
C000240,Zarna,Pathak,2003-01-30,M,Bengaluru,Karnataka,SALARIED,143338,2025-02-22
C000241,Wishi,Sathe,1964-03-22,F,Kolkata,West Bengal,SELF_EMPLOYED,67576,2020-06-10
C000242,Amara,Deep,1980-04-24,F,Chennai,Tamil Nadu,BUSINESS_OWNER,233449,2022-06-09
C000243,Vedhika,Dara,1962-09-04,M,Jaipur,Rajasthan,SELF_EMPLOYED,111215,2024-01-26
C000244,Wriddhish,Dutt,1981-11-09,F,Delhi,Delhi,SELF_EMPLOYED,195671,2023-05-25
C000245,Akshay,Reddy,1967-01-20,M,Pune,Maharashtra,SELF_EMPLOYED,127910,2020-08-15
C000246,Ishaan,Shenoy,1968-09-14,F,Jaipur,Rajasthan,BUSINESS_OWNER,124976,2024-03-21
C000247,Mitesh,Tara,1980-07-28,M,Kolkata,West Bengal,SELF_EMPLOYED,43084,2023-01-15
C000248,Anjali,Sagar,1993-07-18,F,Hyderabad,Telangana,SELF_EMPLOYED,50388,2022-09-23
C000249,Yagnesh,Shan,1998-03-23,M,Delhi,Delhi,BUSINESS_OWNER,247899,2019-12-10
C000250,Leela,Halder,2001-07-01,F,Kolkata,West Bengal,SELF_EMPLOYED,34209,2023-01-13
